Row No,Brand,Laptop Type,Inches,Ram,Memory,Operating System,Weight(In Grams),Price,Touch Screen,IPS,Retina,Width,Height,Maximum Display Resolution,Menory,Primary Storage,Secondary Storage,Primary Storage Type,Secondary Storage Type,Clock Speed,Processor Brand,Processor Model,GPU Brand,GPU Model
11,HP,Notebook,15.6,4GB,500GB HDD,No OS,1900.0,20987.0,No,No,No,1366.0,768.0,HD / HD+,500GB HDD,500GB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
12,HP,Notebook,15.6,4GB,500GB HDD,No OS,1900.0,18381.0,No,No,No,1920.0,1080.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
13,Apple,Ultrabook,15.4,16GB,256GB SSD,macOS,1800.0,130002.0,No,Yes,Yes,2880.0,1800.0,Quad HD+ (QHD+),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.8GHz,Intel,Core i7,AMD,Radeon Pro 555
14,Dell,Notebook,15.6,4GB,256GB SSD,Windows 10,2200.0,26581.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2GHz,Intel,Core i3 6006U,AMD,Radeon R5 M430
15,Apple,Ultrabook,12,8GB,256GB SSD,macOS,900.0,67261.0,No,Yes,Yes,2304.0,1440.0,Quad HD+ (QHD+),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.2GHz,Intel,Core M m3,Intel,HD Graphics 615
16,Apple,Ultrabook,13.3,8GB,256GB SSD,macOS,1400.0,80908.0,No,Yes,Yes,2560.0,1600.0,Quad HD+ (QHD+),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.3GHz,Intel,Core i5,Intel,Iris Plus Graphics 640
17,Dell,Notebook,15.6,8GB,256GB SSD,Windows 10,2200.0,39694.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,AMD,Radeon R5 M430
18,Apple,Ultrabook,15.4,16GB,512GB SSD,macOS,1800.0,152274.0,No,Yes,Yes,2880.0,1800.0,Quad HD+ (QHD+),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.9GHz,Intel,Core i7,AMD,Radeon Pro 560
19,Lenovo,Notebook,15.6,8GB,1TB HDD,No OS,2200.0,26587.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.4GHz,Intel,Core i3 7100U,Nvidia,GeForce 940MX
20,Dell,Ultrabook,13.3,8GB,128GB SSD,Windows 10,1200.0,52161.0,Yes,Yes,No,1920.0,1080.0,Full HD (FHD),128GB SSD,128GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Intel,UHD Graphics 620
21,Lenovo,Gaming,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,2500.0,53227.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.5GHz,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050
22,HP,Notebook,15.6,4GB,500GB HDD,No OS,1900.0,13746.0,No,No,No,1366.0,768.0,HD / HD+,500GB HDD,500GB HDD,Not Available,HDD,Not Available,1.5GHz,AMD,E-Series E2-9000e,AMD,Radeon R2
23,Dell,2 in 1 Convertible,13.3,8GB,256GB SSD,Windows 10,1600.0,43636.0,Yes,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Intel,UHD Graphics 620
24,HP,Ultrabook,15.6,8GB,256GB SSD,Windows 10,1900.0,35112.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Intel,HD Graphics 620
25,Dell,Notebook,15.6,4GB,1TB HDD,Windows 10,2300.0,22305.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
26,Apple,Ultrabook,13.3,8GB,128GB Flash Storage,Mac OS X,1400.0,58555.0,No,No,No,1440.0,900.0,HD / HD+,128GB Flash Storage,128GB Flash Storage,Not Available,Flash,Not Available,1.6GHz,Intel,Core i5,Intel,HD Graphics 6000
27,Dell,Notebook,15.6,8GB,256GB SSD,Windows 10,2200.0,42624.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,AMD,Radeon 530
28,Dell,Ultrabook,15.6,8GB,256GB SSD +  256GB SSD,Windows 10,1900.0,69157.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  256GB SSD,256GB SSD,256GB SSD,SSD,SSD,1.9GHz,Intel,Core i7 8650U,Intel,UHD Graphics 620
29,HP,Notebook,17.3,8GB,1TB HDD,Windows 10,2500.0,47739.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,1.6GHz,Intel,Core i5 8250U,Nvidia,GeForce 930MX
30,Chuwi,Notebook,15.6,4GB,64GB Flash Storage,Windows 10,1900.0,13053.0,No,No,No,1920.0,1080.0,Full HD (FHD),64GB Flash Storage,64GB Flash Storage,Not Available,Flash,Not Available,1.44GHz,Intel,Atom x5-Z8300,Intel,HD Graphics
31,Asus,Notebook,14,2GB,32GB Flash Storage,Windows 10,1600.0,10603.0,No,No,No,1366.0,768.0,HD / HD+,32GB Flash Storage,32GB Flash Storage,Not Available,Flash,Not Available,1.5GHz,AMD,E-Series E2-6110,AMD,Radeon R2
32,HP,Notebook,17.3,4GB,500GB HDD,Windows 10,2700.0,23390.0,No,No,No,1920.0,1080.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,2.5GHz,AMD,A6-Series 9220,AMD,Radeon 530
33,Dell,Ultrabook,13.3,16GB,512GB SSD,Windows 10,1200.0,99580.0,Yes,No,No,3200.0,1800.0,Quad HD+ (QHD+),512GB SSD,512GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Intel,UHD Graphics 620
34,Apple,Ultrabook,13.3,8GB,256GB Flash Storage,Mac OS X,1400.0,53173.0,No,No,No,1440.0,900.0,HD / HD+,256GB Flash Storage,256GB Flash Storage,Not Available,Flash,Not Available,1.6GHz,Intel,Core i5,Intel,HD Graphics 6000
35,Lenovo,Notebook,14,4GB,64GB Flash Storage,Windows 10,1400.0,13267.0,No,No,No,1366.0,768.0,HD / HD+,64GB Flash Storage,64GB Flash Storage,Not Available,Flash,Not Available,1.1GHz,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
36,Acer,Notebook,15.6,4GB,1TB HDD,Linux,2100.0,19554.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.7GHz,Intel,Core i3 7130U,Intel,HD Graphics 620
37,Dell,Notebook,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,2800.0,52161.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,1.6GHz,Intel,Core i5 8250U,AMD,Radeon 530
38,HP,Notebook,15.6,4GB,1TB HDD,Windows 10,1900.0,26037.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
39,HP,Notebook,15.6,8GB,256GB SSD,Windows 10,2100.0,46833.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Nvidia,GeForce 930MX
40,Asus,Notebook,15.6,4GB,1TB HDD,Linux,2000.0,20726.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 620
41,Dell,Gaming,15.6,16GB,256GB SSD +  1TB HDD,Windows 10,2600.0,79867.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  1TB HDD,256GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060
42,Asus,Notebook,15.6,8GB,1TB HDD,Linux,2300.0,27865.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Nvidia,GeForce 940MX
43,Acer,Notebook,15.6,4GB,256GB SSD,Windows 10,2200.0,36337.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Intel,UHD Graphics 620
44,Dell,2 in 1 Convertible,17.3,12GB,1TB HDD,Windows 10,2800.0,53227.0,Yes,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,1.6GHz,Intel,Core i5 8250U,Nvidia,GeForce 150MX
45,Apple,Ultrabook,13.3,8GB,256GB SSD,macOS,1400.0,75604.0,No,Yes,Yes,2560.0,1600.0,Quad HD+ (QHD+),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.0GHz,Intel,Core i5,Intel,Iris Graphics 540
46,Asus,Gaming,17.3,8GB,256GB SSD +  1TB HDD,Windows 10,3200.0,69211.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  1TB HDD,256GB SSD,1TB HDD,SSD,HDD,3GHz,AMD,Ryzen 1700,AMD,Radeon RX 580
47,Dell,Notebook,15.6,4GB,256GB SSD,Windows 10,2300.0,34046.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,AMD,Radeon R5 M430
48,Asus,Notebook,17.3,4GB,1TB HDD,Windows 10,2800.0,24828.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,1.1GHz,Intel,Pentium Quad Core N4200,Nvidia,GeForce 920MX
49,Acer,Notebook,15.6,8GB,256GB SSD,Windows 10,2200.0,44808.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Nvidia,GeForce MX150
50,HP,Notebook,15.6,4GB,256GB SSD,Windows 10,1900.0,21232.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,AMD,A6-Series 9220,AMD,Radeon R4 Graphics
51,HP,Notebook,13.3,8GB,512GB SSD,Windows 10,1500.0,58768.0,No,No,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Intel,UHD Graphics 620
52,Acer,Notebook,15.6,4GB,1TB HDD,Windows 10,2400.0,20460.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.4GHz,Intel,Core i3 7100U,Intel,HD Graphics 620
53,Dell,Notebook,15.6,8GB,256GB SSD,Windows 10,2100.0,40908.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,AMD,Radeon 520
54,HP,Notebook,15.6,4GB,128GB SSD,Windows 10,1900.0,23390.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD,128GB SSD,Not Available,SSD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
55,Asus,Notebook,15.6,4GB,256GB SSD,Windows 10,2000.0,31232.0,No,No,No,1366.0,768.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
56,MSI,Gaming,17.3,16GB,256GB SSD +  2TB HDD,Windows 10,2400.0,130483.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  2TB HDD,256GB SSD,2TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070
57,Asus,Notebook,15.6,4GB,256GB SSD,Linux,2000.0,22111.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
58,Dell,Notebook,17.3,16GB,256GB SSD +  2TB HDD,Windows 10,2800.0,69211.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  2TB HDD,256GB SSD,2TB HDD,SSD,HDD,1.8GHz,Intel,Core i7 8550U,AMD,Radeon 530
59,Dell,Ultrabook,14,8GB,256GB SSD,Windows 10,1700.0,46833.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Intel,UHD Graphics 620
60,Lenovo,Notebook,14,8GB,256GB SSD,No OS,1700.0,31915.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i3 7130U,Intel,HD Graphics 620
61,Asus,Notebook,14,8GB,256GB SSD,Windows 10,1400.0,50136.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Intel,UHD Graphics 620
62,HP,Notebook,15.6,8GB,256GB SSD,Windows 10,1900.0,36763.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
63,Asus,Ultrabook,15.6,16GB,512GB SSD,Windows 10,1800.0,105654.0,No,No,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
64,HP,Notebook,15.6,4GB,500GB HDD,Windows 10,1900.0,23373.0,No,No,No,1366.0,768.0,HD / HD+,500GB HDD,500GB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,AMD,Radeon 520
65,HP,Notebook,14,4GB,32GB SSD,Windows 10,1400.0,12201.0,No,No,No,1366.0,768.0,HD / HD+,32GB SSD,32GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400
66,Lenovo,Notebook,15.6,4GB,1TB HDD,Windows 10,1900.0,29251.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
67,Asus,Gaming,17.3,12GB,1TB HDD,Linux,3000.0,50563.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
68,Microsoft,Ultrabook,13.5,4GB,128GB SSD,Windows 10 S,1300.0,58022.0,Yes,No,No,2256.0,1504.0,Quad HD+ (QHD+),128GB SSD,128GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
69,Dell,Ultrabook,13.3,64GB,256GB SSD,Windows 10,1400.0,50882.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,AMD,Radeon 530
70,Dell,Notebook,15.6,8GB,256GB SSD,Windows 10,2200.0,46354.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,AMD,Radeon 530
71,MSI,Gaming,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,2700.0,58342.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.5GHz,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050
72,Acer,Notebook,14,8GB,1TB HDD,Windows 10,2100.0,20726.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
73,Asus,Gaming,15.6,8GB,1TB HDD,Windows 10,2200.0,50563.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
74,Lenovo,Notebook,15.6,8GB,2TB HDD,No OS,2200.0,27652.0,No,No,No,1920.0,1080.0,Full HD (FHD),2TB HDD,2TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
75,Dell,Notebook,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,2000.0,45554.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,1.8GHz,Intel,Core i7 8550U,Intel,UHD Graphics 620
76,Acer,Notebook,15.6,4GB,1TB HDD,Windows 10,2200.0,28238.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.7GHz,Intel,Core i3 7130U,Nvidia,GeForce MX130
77,HP,Notebook,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,2500.0,52055.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,1.6GHz,Intel,Core i5 8250U,Nvidia,GeForce 930MX
78,Dell,Ultrabook,15.6,8GB,256GB SSD,Windows 10,1900.0,58403.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Intel,UHD Graphics 620
79,Apple,Ultrabook,12,8GB,512GB SSD,macOS,900.0,80453.0,No,Yes,Yes,2304.0,1440.0,Quad HD+ (QHD+),512GB SSD,512GB SSD,Not Available,SSD,Not Available,1.3GHz,Intel,Core i5,Intel,HD Graphics 615
80,HP,Notebook,14,8GB,256GB SSD,Windows 10,1600.0,45821.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Intel,HD Graphics 620
81,Lenovo,Notebook,15.6,4GB,128GB SSD,Windows 10,2200.0,21259.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD,128GB SSD,Not Available,SSD,Not Available,2.5GHz,AMD,A6-Series 9220,AMD,R4 Graphics
82,Acer,Notebook,15.6,4GB,1TB HDD,Windows 10,2100.0,21046.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,3GHz,AMD,A9-Series 9420,AMD,Radeon R5
83,Dell,Gaming,15.6,16GB,128GB SSD +  1TB HDD,Windows 10,2600.0,71875.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
84,HP,Ultrabook,15.6,8GB,256GB SSD,Windows 10,1800.0,37243.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Nvidia,GeForce GTX 940MX
85,HP,Notebook,15.6,8GB,256GB SSD,Windows 10,2000.0,31914.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
86,Asus,Gaming,15.6,16GB,128GB SSD +  1TB HDD,Windows 10,2200.0,77203.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060
87,Dell,Ultrabook,13.3,8GB,256GB SSD,Windows 10,1200.0,87859.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Intel,UHD Graphics 620
88,Asus,Gaming,15.6,8GB,1TB HDD,Windows 10,2400.0,37243.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,3GHz,AMD,FX 9830P,AMD,Radeon RX 560
89,Acer,Notebook,15.6,2GB,1TB HDD,Windows 10,2200.0,36710.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,1.8GHz,Intel,Core i7 8550U,Nvidia,GeForce MX150
90,HP,Notebook,13.3,16GB,512GB SSD,Windows 10,1500.0,63776.0,No,No,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Intel,UHD Graphics 620
91,Dell,Gaming,15.6,8GB,256GB SSD,Windows 10,2600.0,63670.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1060
92,Asus,Ultrabook,14,8GB,256GB SSD,Windows 10,1200.0,55891.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
93,Acer,2 in 1 Convertible,13.3,8GB,256GB SSD,Windows 10,1500.0,45128.0,Yes,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Intel,UHD Graphics 620
94,Dell,Notebook,15.6,8GB,1TB HDD,Linux,2200.0,31963.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.7GHz,Intel,Core i7 7500U,AMD,Radeon R5 M430
95,Dell,Notebook,15.6,4GB,256GB SSD,Linux,2200.0,25841.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2GHz,Intel,Core i3 6006U,AMD,Radeon R5 M430
96,Asus,Notebook,15.6,6GB,256GB SSD,Windows 10,2000.0,30743.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.4GHz,Intel,Core i3 7100U,Nvidia,GeForce 920M
97,HP,Gaming,15.6,12GB,128GB SSD +  1TB HDD,Windows 10,2600.0,66547.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
98,HP,Notebook,15.6,8GB,256GB SSD,Windows 10,1900.0,38308.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,AMD,Radeon 530
99,HP,Notebook,15.6,4GB,500GB HDD,Windows 10,2100.0,18595.0,No,No,No,1920.0,1080.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,1.5GHz,AMD,E-Series E2-9000e,AMD,Radeon R2
100,Dell,Notebook,15.6,8GB,1TB HDD,Linux,2200.0,34472.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,1.6GHz,Intel,Core i5 8250U,AMD,Radeon 520
101,HP,Ultrabook,13.3,8GB,256GB SSD,Windows 10,1400.0,59620.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Nvidia,GeForce MX150
102,Microsoft,Ultrabook,13.5,8GB,256GB SSD,Windows 10 S,1300.0,71395.0,Yes,No,No,2256.0,1504.0,Quad HD+ (QHD+),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
103,HP,Notebook,14,6GB,256GB SSD,Windows 10,1600.0,35112.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Nvidia,GeForce 940MX
